latitude,longtitude,type of trash
35.67430556,139.7155556,燃えるゴミ
35.6805,139.7195833,ペットボトル・カン・ビン
35.68094444,139.7199444,ペットボトル・カン・ビン
35.68230556,139.71975,ペットボトル・カン・ビン
35.68261111,139.7201111,ペットボトル・カン
35.68677778,139.6898889,ペットボトル・カン
35.68738889,139.6899167,燃えるゴミ・燃えないゴミ
35.68808333,139.6958611,ペットボトル・カン
35.68808333,139.6958611,ペットボトル・カン
35.68838889,139.6968611,ペットボトル・カン・ビン・紙類
35.68897222,139.6981944,ペットボトル・カン
35.68911111,139.6895,燃えるゴミ・燃えないゴミ
35.68922222,139.6970833,ペットボトル・カン
35.68925,139.6894722,ペットボトル・カン
35.68936111,139.6981667,ペットボトル・カン
35.68952778,139.6894167,燃えるゴミ・燃えないゴミ
35.68963889,139.7021944,ペットボトル・カン
35.68969444,139.6901389,燃えるゴミ・燃えないゴミ
35.68975,139.7015833,ペットボトル・カン
35.68977778,139.7020833,ペットボトル・カン
35.68980556,139.7026111,ペットボトル・カン
35.68980556,139.7026111,ペットボトル・カン
35.68991667,139.6901389,ペットボトル・カン
35.69,139.6902778,灰皿
35.69,139.70775,ペットボトル・カン
35.69011111,139.7022222,ペットボトル・カン
35.69011111,139.7022222,ペットボトル・カン
35.69011111,139.6968889,ペットボトル・カン
35.69013889,139.7031389,ペットボトル・カン
35.69016667,139.7081111,ペットボトル・カン・灰皿
35.69025,139.703,ペットボトル・カン
35.69027778,139.7025,ペットボトル・カン
35.69036111,139.7074722,ペットボトル・カン
35.69038889,139.7038889,ペットボトル・カン
35.69038889,139.70475,ペットボトル・カン
35.69041667,139.7081111,ペットボトル・カン
35.6905,139.7014722,ペットボトル・カン
35.6905,139.7032222,ペットボトル・カン
35.6905,139.7062778,ペットボトル・カン
35.69055556,139.7029444,ペットボトル・カン
35.69055556,139.7029444,ペットボトル・カン
35.69063889,139.6896111,燃えるゴミ・燃えないゴミ
35.69066667,139.7018889,ペットボトル・カン
35.69083333,139.7038056,ペットボトル・カン
35.69097222,139.7024167,ペットボトル・カン
35.69102778,139.6881111,ペットボトル・カン
35.69111111,139.7053333,ペットボトル・カン
35.69116667,139.7025833,ペットボトル・カン
35.69116667,139.7031389,ペットボトル・カン
35.69116667,139.7025833,ペットボトル・カン
35.69116667,139.7031389,ペットボトル・カン
35.69125,139.7020556,ペットボトル・カン
35.69125,139.7020556,ペットボトル・カン・ビン
35.69130556,139.7088333,ペットボトル・カン・ビン
35.69138889,139.6990556,灰皿
35.69147222,139.7066389,ペットボトル・カン
35.69155556,139.7077778,ペットボトル・カン・ビン
35.69155556,139.7077778,ペットボトル・カン
35.69161111,139.7025833,ペットボトル・カン
35.69177778,139.7058889,ペットボトル・カン
35.69197222,139.7053056,ペットボトル・カン
35.6925,139.7035556,ペットボトル・カン
35.6925,139.7035556,ペットボトル・カン
35.69291667,139.7007778,ペットボトル・カン
35.6935,139.7028611,ペットボトル・カン
35.69358333,139.7031389,ペットボトル・カン
35.69363889,139.7024167,ペットボトル・カン
35.69377778,139.70425,ペットボトル・カン
35.69377778,139.70425,ペットボトル・カン
35.69380556,139.7002222,灰皿
35.69380556,139.7002222,灰皿
35.69380556,139.7041389,ペットボトル・カン・ビン
35.69408333,139.7050833,ペットボトル・カン・ビン・燃えるゴミ
35.69425,139.7027222,ペットボトル・カン
35.69427778,139.7037778,ペットボトル・カン・ビン
35.69461111,139.7029167,ペットボトル・カン
35.69477778,139.7065556,ペットボトル・カン
35.69502778,139.7049722,ペットボトル・カン
35.69525,139.7050278,ペットボトル・カン
35.69533333,139.7043611,ペットボトル・カン
35.69533333,139.7066944,ペットボトル・カン
35.69608333,139.7057222,ペットボトル・カン
35.69625,139.7047222,ペットボトル・カン
35.69680556,139.7003611,ペットボトル・カン
35.69733333,139.70075,ペットボトル・カン
35.69783333,139.7048889,ペットボトル・カン
35.701,139.7051111,ペットボトル・カン
35.70102778,139.7054444,ペットボトル・カン・ビン
35.70102778,139.7082778,ペットボトル・カン
35.70116667,139.6992222,ペットボトル・カン
35.70122222,139.7006667,ペットボトル・カン
35.70127778,139.7040556,ペットボトル・カン
35.70138889,139.7070833,ペットボトル・カン
35.70152778,139.69825,ペットボトル・カン・ビン
35.70161111,139.7007778,ペットボトル・カン
35.70175,139.6980556,ペットボトル・カン・ビン
35.70188889,139.6970833,ペットボトル・カン
35.70202778,139.7023333,ペットボトル・カン
35.70302778,139.7008889,ペットボトル・カン
35.70497222,139.7083333,燃えるゴミ・燃えないゴミ・プラスチック・ペットボトル・カン・ビン
35.70775,139.7090278,